Original Tags,After 3 levenstein op,after 1 fingerprint op
updates,update,update
Industry,Industry,Industry
Geospatial,Geospatial,Geospatial
Web,Web,Web
DL,DL,DL
India,India,India
Semantic,Semantic,Semantic
Semantic,Semantic,Semantic
bill,bill,bill
design,Design,Design
NRM2,NRM2,NRM2
POMI2,POMI2,POMI2
Airport,Airport,Airport
Energy,Energy,Energy
Energy,Energy,Energy
Facility,Facility,Facility
Ontology,ontology,ontology
Expert,Expert,Expert
Factory,Factory,Factory
Integration,Integration,Integration
Production,Production,Production
building,building,building
e-Submission,e-Submission,e-Submission
pre-checking,pre-checking,pre-checking
ArchiCAD,ArchiCAD,ArchiCAD
Australia,Australia,Australia
EDM,EDM,EDM
point,point,point
segmentation,segmentation,segmentation
BAS,BAS,BAS
big,big,big
Answer,Answer,Answer
Clingo,Clingo,Clingo
construction,Construction,Construction
safety,Safety,Safety
Semantic,Semantic,Semantic
AI,AI,AI
Automated,Automated,Automated
Automated,Automated,Automated
Computer,Computer,Computer
Documentation,Documentation,Documentation
Project,Project,Project
Semantic,Semantic,Semantic
3D,3D,3D
building,building,building
building,building,building
CityGML,CityGML,CityGML
open,open,Open
lifts,lifts,lifts
microservices,microservices,microservices
Akoma,Akoma,Akoma
Building,building,building
Data,Data,Data
Open,Open,Open
Open,Open,Open
additive,additive,additive
Digital,Digital,Digital
Industry,Industry,Industry
Web-viewer,Web-viewer,Web-viewer
Automatic,Automatic,Automatic
Export,Export,Export
Import,Import,Import
Quality,Quality,Quality
Test,Test,Test
TIO,TIO,TIO
transcribe-transform-transfer,transcribe-transform-transfer,transcribe-transform-transfer
Tx3,Tx3,Tx3
⛔,⛔,⛔
parametric,parametric,parametric
C/VM2,C/VM2,C/VM2
New,New,New
NZBC,NZBC,NZBC
BRMS,BRMS,BRMS
Drools,Drools,Drools
IfcConstraint,IfcConstraint,IfcConstraint
Jena,Jena,Jena
Procedural,Procedural,Procedural
Rule,Rule,Rule
Automatic,Automatic,Automatic
enrichissement,enrichissement,enrichissement
Formalisation,Formalisation,Formalisation
ontology,ontology,ontology
conversion,conversion,conversion
executable,executable,executable
KBimCode,KBimCode,KBimCode
KOM,KOM,KOM
benchmark,Benchmark,Benchmark
machine,Machine,Machine
metadata,Metadata,Metadata
smart,smart,Smart
BEMS,BEMS,BEMS
BIM,BIM,BIM
Buildability,Buildability,Buildability
computer,Computer,Computer
Constructability,Constructability,Constructability
KBimCode,KBimCode,KBimCode
KBimCode,KBimCode,KBimCode
KBimCodeDB,KBimCodeDB,KBimCodeDB
KBimSubmission,KBimSubmission,KBimSubmission
noun,noun,noun
Object-Property$COMMA$,Object-Property$COMMA$,Object-Property$COMMA$
Pre-evaluation,Pre-evaluation,Pre-evaluation
relation,relation,relation
Risk,Risk,Risk
sentence,sentence,sentence
verb,verb,verb
Data,Data,Data
IFC,IFC,IFC
Information,Information,Information
Information,Information,Information
ISO,ISO,ISO
Level,Level,Level
Model,Model,Model
Product,Product,Product
Urban,Urban,Urban
GraphQL,GraphQL,GraphQL
damages,damage,damage
semantics,Semantic,Semantic
Collaborative,Collaborative,Collaborative
Energy,Energy,Energy
Linked,Linked,Linked
Metadata,Metadata,Metadata
unit,unit,unit
Bosch,Bosch,Bosch
DTDL,DTDL,DTDL
building,building,building
National,National,National
power,power,power
KBim,KBim,KBim
KBVL,KBVL,KBVL
e-maintenance,e-maintenance,e-maintenance
IFC,IFC,IFC
Rotterdam,Rotterdam,Rotterdam
Firewalls,Firewalls,Firewalls
Knowledge,Knowledge,Knowledge
Mathematical,Mathematical,Mathematical
Object,Object,Object
rule,rule,Rule
Software,Software,Software
BIM4REN,BIM4REN,BIM4REN
BIMbots,BIMbots,BIMbots
Built2Spec,Built2Spec,Built2Spec
ecosystem,ecosystem,ecosystem
ELASSTIC,ELASSTIC,ELASSTIC
Environmental,Environmental,Environmental
Fire,Fire,Fire
Limestone,Limestone,Limestone
TNO,TNO,TNO
Building,building,building
environmental,Environmental,Environmental
ISO,ISO,ISO
review,review,review
BIM,BIM,BIM
event-driven,event-driven,event-driven
Construction,Construction,Construction
Construction,Construction,Construction
Cost,Cost,Cost
Knowledge-based,Knowledge-based,Knowledge-based
Semantic,Semantic,Semantic
Autonomic,Autonomic,Autonomic
Building,building,building
Property,Property,Property
Wireless,Wireless,Wireless
conflict,conflict,conflict
semantic,Semantic,Semantic
ifcJSON,ifcJSON,ifcJSON
oil,oil,oil
BauGB,BauGB,BauGB
BauVorIV,BauVorIV,BauVorIV
digiKOM,digiKOM,digiKOM
LBauO,LBauO,LBauO
Lower,Lower,Lower
Masterplan,Masterplan,Masterplan
MBO,MBO,MBO
Onlinezugangsgesetz,Onlinezugangsgesetz,Onlinezugangsgesetz
B-Prolog,B-Prolog,B-Prolog
GATE,GATE,GATE
Java,Java,Java
